gvkey,gvkeyx,from,thru,conm,tic,co_conm,co_tic
9967,3,31/03/1964,31/05/1970,S&P 500 Comp-Ltd,I0003,SQUIBB CORP,SQB
10519,3,31/03/1964,31/05/1970,S&P 500 Comp-Ltd,I0003,TEXTRON INC,TXT
186915,3,31/03/1964,31/05/1970,S&P 500 Comp-Ltd,I0003,AMERICAN EXPORT LINES INC,AEX.2
2806,3,31/03/1964,31/08/1970,S&P 500 Comp-Ltd,I0003,CASE (J I) CO,JI.
8352,3,31/03/1964,30/11/1970,S&P 500 Comp-Ltd,I0003,PARKE DAVIS & CO,PDC.1
10003,3,31/03/1964,30/11/1970,S&P 500 Comp-Ltd,I0003,STANDARD PACKAGING CORP,SPK.1
1758,3,31/03/1964,28/02/1971,S&P 500 Comp-Ltd,I0003,ARMOUR & CO,G2
1925,3,31/03/1964,31/05/1971,S&P 500 Comp-Ltd,I0003,AZCON CORP,AZNC
265975,3,31/03/1964,31/05/1971,S&P 500 Comp-Ltd,I0003,LOUISVILLE & NASHVILLE RR CO,LN.1
3641,3,31/03/1964,31/08/1971,S&P 500 Comp-Ltd,I0003,CUDAHY CO,CUDH
5060,3,31/03/1964,31/08/1971,S&P 500 Comp-Ltd,I0003,GENERAL HOST CORP,GH.2
6990,3,31/03/1964,30/11/1971,S&P 500 Comp-Ltd,I0003,MANHATTAN INDUSTRIES INC,MHT.1
2541,3,31/03/1964,29/02/1972,S&P 500 Comp-Ltd,I0003,CF & I STEEL CORP,3CFIPQ
11277,3,31/03/1964,29/02/1972,S&P 500 Comp-Ltd,I0003,WALWORTH CO,WW.1
2994,3,31/03/1964,31/08/1972,S&P 500 Comp-Ltd,I0003,CHICAGO MILWAUKEE CORP,CHG.1
3733,3,31/03/1964,31/08/1972,S&P 500 Comp-Ltd,I0003,DAN RIVER INC  -OLD,DML.1
4895,3,31/03/1964,31/08/1972,S&P 500 Comp-Ltd,I0003,FREEPORT MCMORAN INC,FTX
7870,3,31/03/1964,31/08/1972,S&P 500 Comp-Ltd,I0003,NEWBERRY (J J) CO,JJN.1
8370,3,31/03/1964,31/08/1972,S&P 500 Comp-Ltd,I0003,PASCO INC,PAS.1
8430,3,31/03/1964,31/08/1972,S&P 500 Comp-Ltd,I0003,PENN CENTRAL CO,PC.2
10510,3,31/03/1964,31/08/1972,S&P 500 Comp-Ltd,I0003,TEXASGULF INC,TG.2
186932,3,31/03/1964,31/08/1972,S&P 500 Comp-Ltd,I0003,CHICAGO RCK ISLAND & PACIFIC,RI
1429,3,31/03/1964,28/02/1973,S&P 500 Comp-Ltd,I0003,AMERICAN CRYSTAL SUGAR CO,2388B
1620,3,31/03/1964,28/02/1973,S&P 500 Comp-Ltd,I0003,AMSTAR CORP,4072A
5964,3,31/03/1964,28/02/1973,S&P 500 Comp-Ltd,I0003,INGREDIENT TECHNOLOGY CORP,ITC.1
9977,3,31/03/1964,28/02/1973,S&P 500 Comp-Ltd,I0003,STALEY CONTINENTAL INC,STA.1
1394,3,31/03/1964,31/05/1973,S&P 500 Comp-Ltd,I0003,AMERICAN BAKERIES CO,ABA.1
4724,3,31/03/1964,31/05/1973,S&P 500 Comp-Ltd,I0003,FIRST NATIONAL STORES INC,FST.4
9008,3,31/03/1964,31/05/1973,S&P 500 Comp-Ltd,I0003,REED TOOL CO,RDT.1
9126,3,31/03/1964,31/05/1973,S&P 500 Comp-Ltd,I0003,RICHARDSON-VICKS INC,RVI.2
11280,3,31/03/1964,31/05/1973,S&P 500 Comp-Ltd,I0003,WARD FOODS INC,WD.1
5171,3,31/03/1964,31/08/1973,S&P 500 Comp-Ltd,I0003,GIMBEL BROTHERS INC,2003A
4154,3,31/03/1964,30/11/1973,S&P 500 Comp-Ltd,I0003,E S B INC,ESB.
4600,3,31/03/1964,30/11/1973,S&P 500 Comp-Ltd,I0003,FEDERAL-MOGUL HOLDINGS CORP,FDML
1133,3,31/03/1964,31/05/1974,S&P 500 Comp-Ltd,I0003,ADMIRAL CORP,ADL.1
2283,3,31/03/1964,31/05/1974,S&P 500 Comp-Ltd,I0003,BOBBIE BROOKS INC,BBKS
6367,3,31/03/1964,31/05/1974,S&P 500 Comp-Ltd,I0003,KEEBLER CO,KBR.1
7675,3,31/03/1964,31/05/1974,S&P 500 Comp-Ltd,I0003,NABISCO INC,NB.3
7457,3,31/03/1964,31/08/1974,S&P 500 Comp-Ltd,I0003,MISSOURI PACIFIC CORP,MIS.3
5063,3,31/03/1964,30/11/1974,S&P 500 Comp-Ltd,I0003,GENERAL INSTRUMENT CORP,GIC.3
6765,3,31/03/1964,30/11/1974,S&P 500 Comp-Ltd,I0003,LITTON INDUSTRIES INC,LIT.1
6952,3,31/03/1964,30/11/1974,S&P 500 Comp-Ltd,I0003,MAGNAVOX CO,MAG.2
15106,3,31/03/1964,30/11/1974,S&P 500 Comp-Ltd,I0003,BECKMAN COULTER INC,BEC
1215,3,31/03/1964,28/02/1975,S&P 500 Comp-Ltd,I0003,AIRCO INC,AN.1
8123,3,31/03/1964,28/02/1975,S&P 500 Comp-Ltd,I0003,OLIN CORP,OLN
14331,3,31/03/1964,28/02/1975,S&P 500 Comp-Ltd,I0003,CHEMETRON CORP,5050A
4558,3,31/03/1964,31/05/1975,S&P 500 Comp-Ltd,I0003,FALSTAFF BREWING CORP,FALB.1
5762,3,31/03/1964,31/08/1975,S&P 500 Comp-Ltd,I0003,HOWMET CORP,HW.1
3511,3,31/03/1964,30/11/1975,S&P 500 Comp-Ltd,I0003,COPPER RANGE CO,CPX.1
5261,3,31/03/1964,30/11/1975,S&P 500 Comp-Ltd,I0003,GRAND UNION CO  -OLD,GUX
5270,3,31/03/1964,30/11/1975,S&P 500 Comp-Ltd,I0003,GRANT (W.T.) CO,GTY.1
6361,3,31/03/1964,30/11/1975,S&P 500 Comp-Ltd,I0003,KAYSER-ROTH CORP,KYR.1
6774,3,31/03/1964,30/11/1975,S&P 500 Comp-Ltd,I0003,LOCKHEED MARTIN CORP,LMT
1420,3,31/03/1964,29/02/1976,S&P 500 Comp-Ltd,I0003,AMERICAN CHAIN & CABLE INC,ACN.4
2892,3,31/03/1964,29/02/1976,S&P 500 Comp-Ltd,I0003,CERRO CORP,CDP.3
4937,3,31/03/1964,29/02/1976,S&P 500 Comp-Ltd,I0003,GAC CORP,GAC.2
6702,3,31/03/1964,29/02/1976,S&P 500 Comp-Ltd,I0003,LIBBY MCNEILL & LIBBY,LJ.1
8198,3,31/03/1964,29/02/1976,S&P 500 Comp-Ltd,I0003,OTIS ELEVATOR CO,OT.
9523,3,31/03/1964,29/02/1976,S&P 500 Comp-Ltd,I0003,SCOVILL INC,SCO.1
1043,3,31/03/1964,31/05/1976,S&P 500 Comp-Ltd,I0003,MULTIGRAPHICS INC,MTI.3
1279,3,31/03/1964,31/05/1976,S&P 500 Comp-Ltd,I0003,ALLEGHENY ENERGY INC,AYE
1380,3,31/03/1964,31/05/1976,S&P 500 Comp-Ltd,I0003,HESS CORP,HES
1489,3,31/03/1964,31/05/1976,S&P 500 Comp-Ltd,I0003,AMERICAN INVESTMENT CO,AIC.2
1738,3,31/03/1964,31/05/1976,S&P 500 Comp-Ltd,I0003,WASHINGTON MUTUAL FINL CORP,WM1
3039,3,31/03/1964,31/05/1976,S&P 500 Comp-Ltd,I0003,DUKE ENERGY OHIO INC,CIN1
3439,3,31/03/1964,31/05/1976,S&P 500 Comp-Ltd,I0003,CMS ENERGY CORP,CMS
3814,3,31/03/1964,31/05/1976,S&P 500 Comp-Ltd,I0003,DPL INC,AES5
3848,3,31/03/1964,31/05/1976,S&P 500 Comp-Ltd,I0003,CONECTIV INC,POM2
4103,3,31/03/1964,31/05/1976,S&P 500 Comp-Ltd,I0003,DUQUESNE LIGHT HOLDINGS INC,DQE
4183,3,31/03/1964,31/05/1976,S&P 500 Comp-Ltd,I0003,EASTERN AIR LINES,QCTA1
4430,3,31/03/1964,31/05/1976,S&P 500 Comp-Ltd,I0003,EQT CORP,EQT
4799,3,31/03/1964,31/05/1976,S&P 500 Comp-Ltd,I0003,DUKE ENERGY FLORIDA INC,DUK9
5079,3,31/03/1964,31/05/1976,S&P 500 Comp-Ltd,I0003,GPU INC,GPU.
5877,3,31/03/1964,31/05/1976,S&P 500 Comp-Ltd,I0003,ILLINOVA CORP,ILN
6178,3,31/03/1964,31/05/1976,S&P 500 Comp-Ltd,I0003,IPALCO ENTERPRISES INC,AES4
6335,3,31/03/1964,31/05/1976,S&P 500 Comp-Ltd,I0003,KANSAS CITY SOUTHERN,KSU
6547,3,31/03/1964,31/05/1976,S&P 500 Comp-Ltd,I0003,SPIRE INC,SR
7862,3,31/03/1964,31/05/1976,S&P 500 Comp-Ltd,I0003,ENERGY EAST CORP,EAS
9149,3,31/03/1964,31/05/1976,S&P 500 Comp-Ltd,I0003,RIO GRANDE INDUSTRIES,RGI.1
9195,3,31/03/1964,31/05/1976,S&P 500 Comp-Ltd,I0003,FRONTIER CORP,FRO.1
10818,3,31/03/1964,31/05/1976,S&P 500 Comp-Ltd,I0003,USM CORP,USM.1
