gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,cusip,conm,curcd,fyr,act,at,ebit,ebitda,epspi,epspx,lt,ni,niadj,nits,opiti,pstk,pstkl,pstkrv,spce,spceeps,txditc,upstk,exchg,costat,ein,fyrc,idbflag,incorp,loc,sic,spcindcd,spcseccd
1447,31/12/2014,2014,INDL,C,D,STD,AXP,25816109,AMERICAN EXPRESS CO,USD,12,,159103,8963,9975,5.58,5.58,138430,5885,5839,,,0,750,750,,,0,,11,A,13-4922250,12,B,NY,USA,6141,850,800
1447,31/12/2015,2015,FS,C,D,STD,AXP,25816109,AMERICAN EXPRESS CO,USD,12,,161184,,,,,140511,,,,,0,,,,,,,11,A,13-4922250,12,B,NY,USA,6141,850,800
1447,31/12/2015,2015,INDL,C,D,STD,AXP,25816109,AMERICAN EXPRESS CO,USD,12,,161184,8968,10011,5.07,5.07,140511,5163,5063,,,0,1600,1600,,,0,,11,A,13-4922250,12,B,NY,USA,6141,850,800
1447,31/12/2016,2016,FS,C,D,STD,AXP,25816109,AMERICAN EXPRESS CO,USD,12,,158893,,,,,138392,,,,,0,,,,,,,11,A,13-4922250,12,B,NY,USA,6141,850,800
1447,31/12/2016,2016,INDL,C,D,STD,AXP,25816109,AMERICAN EXPRESS CO,USD,12,,158893,8074,9169,5.67,5.67,138392,5408,5285,,,0,1600,1600,,,0,,11,A,13-4922250,12,B,NY,USA,6141,850,800
1447,31/12/2017,2017,FS,C,D,STD,AXP,25816109,AMERICAN EXPRESS CO,USD,12,,181159,,,,,162932,,,,,0,,,,,,,11,A,13-4922250,12,B,NY,USA,6141,850,800
1447,31/12/2017,2017,INDL,C,D,STD,AXP,25816109,AMERICAN EXPRESS CO,USD,12,,181159,8297,9618,2.98,2.98,162932,2736,2634,,,0,1600,1600,,,0,,11,A,13-4922250,12,B,NY,USA,6141,850,800
1447,31/12/2018,2018,FS,C,D,STD,AXP,25816109,AMERICAN EXPRESS CO,USD,12,,188602,,,,,166312,,,,,0,,,,,,,11,A,13-4922250,12,B,NY,USA,6141,850,800
1447,31/12/2018,2018,INDL,C,D,STD,AXP,25816109,AMERICAN EXPRESS CO,USD,12,,188602,8967,10260,7.93,7.93,166312,6921,6787,,,0,1600,1600,,,0,,11,A,13-4922250,12,B,NY,USA,6141,850,800
1449,31/12/2013,2013,FS,C,D,STD,AFL,1055102,AFLAC INC,USD,12,,121307,,,,,106687,,,2400,,0,,,,,,,11,A,58-1167100,12,B,GA,USA,6321,825,800
1449,31/12/2013,2013,INDL,C,D,STD,AFL,1055102,AFLAC INC,USD,12,,121307,5109,5165,6.8,6.8,106687,3158,3158,,,0,0,0,,,2764,,11,A,58-1167100,12,B,GA,USA,6321,825,800
